job_id,title,description,category,location,posting_date,budget
job_1,Plant new garden,Looking for someone to help with plant new garden in my home/office.,Gardening,Setif,2025-03-21 05:21:31.994398,8560
job_2,Lawn mowing and trimming,Looking for someone to help with lawn mowing and trimming in my home/office.,Gardening,Djelfa,2025-05-12 05:21:31.994398,9040
job_3,Tree pruning,Looking for someone to help with tree pruning in my home/office.,Gardening,Oran,2025-04-17 05:21:31.994398,7375
job_4,Paint bedroom walls,Looking for someone to help with paint bedroom walls in my home/office.,Painting,Oran,2025-03-11 05:21:31.994398,7732
job_5,Fix leaking sink,Looking for someone to help with fix leaking sink in my home/office.,Plumbing,Constantine,2025-02-21 05:21:31.994398,2741
job_6,Package pickup,Looking for someone to help with package pickup in my home/office.,Delivery,Oran,2025-02-19 05:21:31.994398,9895
job_7,Tree pruning,Looking for someone to help with tree pruning in my home/office.,Gardening,Djelfa,2025-03-11 05:21:31.994398,9489
job_8,Help moving heavy furniture,Looking for someone to help with help moving heavy furniture in my home/office.,Moving,Setif,2025-03-05 05:21:31.994398,7754
job_9,Light fixture installation,Looking for someone to help with light fixture installation in my home/office.,Electrical,Annaba,2025-04-21 05:21:31.994398,2987
job_10,Home network setup,Looking for someone to help with home network setup in my home/office.,Tech Support,Annaba,2025-04-12 05:21:31.994398,2975
job_11,Electrical troubleshooting,Looking for someone to help with electrical troubleshooting in my home/office.,Electrical,Oran,2025-03-22 05:21:31.994398,2644
job_12,Assemble furniture,Looking for someone to help with assemble furniture in my home/office.,Assembly,Constantine,2025-04-07 05:21:31.994398,6899
job_13,Assemble desk,Looking for someone to help with assemble desk in my home/office.,Assembly,Batna,2025-05-05 05:21:31.994398,1040
job_14,Outlet repair,Looking for someone to help with outlet repair in my home/office.,Electrical,Djelfa,2025-05-06 05:21:31.994398,4583
job_15,Moving boxes to storage,Looking for someone to help with moving boxes to storage in my home/office.,Moving,Setif,2025-04-30 05:21:31.994398,6765
job_16,Math tutoring,Looking for someone to help with math tutoring in my home/office.,Tutoring,Annaba,2025-04-08 05:21:31.994398,9986
job_17,Paint exterior of house,Looking for someone to help with paint exterior of house in my home/office.,Painting,Constantine,2025-04-30 05:21:31.994398,6960
job_18,Moving boxes to storage,Looking for someone to help with moving boxes to storage in my home/office.,Moving,Setif,2025-05-13 05:21:31.994398,8654
job_19,Computer repair,Looking for someone to help with computer repair in my home/office.,Tech Support,Constantine,2025-05-10 05:21:31.994398,6512
job_20,Assemble furniture,Looking for someone to help with assemble furniture in my home/office.,Assembly,Constantine,2025-02-19 05:21:31.994398,6292
job_21,Paint living room,Looking for someone to help with paint living room in my home/office.,Painting,Constantine,2025-05-19 05:21:31.994398,4698
job_22,Electrical troubleshooting,Looking for someone to help with electrical troubleshooting in my home/office.,Electrical,Blida,2025-02-25 05:21:31.994398,9461
job_23,Clean windows,Looking for someone to help with clean windows in my home/office.,Cleaning,Annaba,2025-03-16 05:21:31.994398,9585
job_24,Install new faucet,Looking for someone to help with install new faucet in my home/office.,Plumbing,Algiers,2025-04-28 05:21:31.994398,6504
job_25,Paint living room,Looking for someone to help with paint living room in my home/office.,Painting,Djelfa,2025-04-14 05:21:31.994398,6245
job_26,Paint exterior of house,Looking for someone to help with paint exterior of house in my home/office.,Painting,Annaba,2025-03-14 05:21:31.994398,5768
job_27,Package pickup,Looking for someone to help with package pickup in my home/office.,Delivery,Setif,2025-03-20 05:21:31.994398,4577
job_28,Paint exterior of house,Looking for someone to help with paint exterior of house in my home/office.,Painting,Batna,2025-05-19 05:21:31.994398,5759
job_29,Paint living room,Looking for someone to help with paint living room in my home/office.,Painting,Constantine,2025-03-18 05:21:31.994398,9129
job_30,Deep clean apartment,Looking for someone to help with deep clean apartment in my home/office.,Cleaning,Constantine,2025-02-28 05:21:31.994398,8452
job_31,Computer repair,Looking for someone to help with computer repair in my home/office.,Tech Support,Algiers,2025-04-13 05:21:31.994398,6599
job_32,Assemble bookshelf,Looking for someone to help with assemble bookshelf in my home/office.,Assembly,Constantine,2025-04-09 05:21:31.994398,8547
job_33,Light fixture installation,Looking for someone to help with light fixture installation in my home/office.,Electrical,Annaba,2025-04-23 05:21:31.994398,4933
job_34,Assemble bookshelf,Looking for someone to help with assemble bookshelf in my home/office.,Assembly,Oran,2025-03-28 05:21:31.994398,9633
job_35,Paint bedroom walls,Looking for someone to help with paint bedroom walls in my home/office.,Painting,Algiers,2025-02-26 05:21:31.994398,2119
job_36,Tree pruning,Looking for someone to help with tree pruning in my home/office.,Gardening,Setif,2025-04-13 05:21:31.994398,7485
job_37,Assemble furniture,Looking for someone to help with assemble furniture in my home/office.,Assembly,Annaba,2025-04-05 05:21:31.994398,7467
job_38,Moving assistance,Looking for someone to help with moving assistance in my home/office.,Moving,Setif,2025-03-29 05:21:31.994398,4722
job_39,Assemble furniture,Looking for someone to help with assemble furniture in my home/office.,Assembly,Algiers,2025-02-25 05:21:31.994398,6599
job_40,Lawn mowing and trimming,Looking for someone to help with lawn mowing and trimming in my home/office.,Gardening,Setif,2025-02-26 05:21:31.994398,9690
job_41,Assemble furniture,Looking for someone to help with assemble furniture in my home/office.,Assembly,Blida,2025-03-23 05:21:31.994398,6072
job_42,Light fixture installation,Looking for someone to help with light fixture installation in my home/office.,Electrical,Oran,2025-02-21 05:21:31.994398,4959
job_43,Paint living room,Looking for someone to help with paint living room in my home/office.,Painting,Batna,2025-04-07 05:21:31.994398,4234
job_44,Tree pruning,Looking for someone to help with tree pruning in my home/office.,Gardening,Blida,2025-03-03 05:21:31.994398,8356
job_45,Install new faucet,Looking for someone to help with install new faucet in my home/office.,Plumbing,Setif,2025-05-02 05:21:31.994398,2962
job_46,Paint bedroom walls,Looking for someone to help with paint bedroom walls in my home/office.,Painting,Setif,2025-03-24 05:21:31.994398,9755
job_47,House cleaning,Looking for someone to help with house cleaning in my home/office.,Cleaning,Djelfa,2025-02-22 05:21:31.994398,3340
job_48,Assemble bookshelf,Looking for someone to help with assemble bookshelf in my home/office.,Assembly,Oran,2025-02-26 05:21:31.994398,3250
job_49,Computer repair,Looking for someone to help with computer repair in my home/office.,Tech Support,Setif,2025-04-07 05:21:31.994398,9078
job_50,Food delivery,Looking for someone to help with food delivery in my home/office.,Delivery,Blida,2025-04-02 05:21:31.994398,6179
job_51,Assemble desk,Looking for someone to help with assemble desk in my home/office.,Assembly,Oran,2025-03-29 05:21:31.994398,2665
job_52,Math tutoring,Looking for someone to help with math tutoring in my home/office.,Tutoring,Oran,2025-04-14 05:21:31.994398,8755
job_53,Assemble bookshelf,Looking for someone to help with assemble bookshelf in my home/office.,Assembly,Blida,2025-04-08 05:21:31.994398,1687
job_54,Outlet repair,Looking for someone to help with outlet repair in my home/office.,Electrical,Batna,2025-03-16 05:21:31.994398,1781
job_55,Lawn mowing and trimming,Looking for someone to help with lawn mowing and trimming in my home/office.,Gardening,Batna,2025-04-17 05:21:31.994398,3449
job_56,Fix leaking sink,Looking for someone to help with fix leaking sink in my home/office.,Plumbing,Blida,2025-03-19 05:21:31.994398,5454
job_57,Computer repair,Looking for someone to help with computer repair in my home/office.,Tech Support,Djelfa,2025-03-29 05:21:31.994398,3609
job_58,Assemble bookshelf,Looking for someone to help with assemble bookshelf in my home/office.,Assembly,Algiers,2025-02-20 05:21:31.994398,1533
job_59,House cleaning,Looking for someone to help with house cleaning in my home/office.,Cleaning,Algiers,2025-05-01 05:21:31.994398,6327
job_60,Repair bathroom plumbing,Looking for someone to help with repair bathroom plumbing in my home/office.,Plumbing,Oran,2025-03-01 05:21:31.994398,4315
job_61,Assemble furniture,Looking for someone to help with assemble furniture in my home/office.,Assembly,Annaba,2025-04-18 05:21:31.994398,8658
job_62,Home network setup,Looking for someone to help with home network setup in my home/office.,Tech Support,Blida,2025-04-26 05:21:31.994398,3447
job_63,Electrical troubleshooting,Looking for someone to help with electrical troubleshooting in my home/office.,Electrical,Annaba,2025-05-07 05:21:31.994398,4200
job_64,Paint bedroom walls,Looking for someone to help with paint bedroom walls in my home/office.,Painting,Algiers,2025-03-12 05:21:31.994398,3566
job_65,Assemble desk,Looking for someone to help with assemble desk in my home/office.,Assembly,Batna,2025-03-11 05:21:31.994398,2715
job_66,Food delivery,Looking for someone to help with food delivery in my home/office.,Delivery,Algiers,2025-03-02 05:21:31.994398,2766
job_67,Light fixture installation,Looking for someone to help with light fixture installation in my home/office.,Electrical,Djelfa,2025-04-26 05:21:31.994398,6044
job_68,Language lessons,Looking for someone to help with language lessons in my home/office.,Tutoring,Blida,2025-04-16 05:21:32.007550,1159
job_69,Help moving heavy furniture,Looking for someone to help with help moving heavy furniture in my home/office.,Moving,Djelfa,2025-03-31 05:21:32.009127,7962
job_70,Programming tutoring,Looking for someone to help with programming tutoring in my home/office.,Tutoring,Oran,2025-03-23 05:21:32.009479,3387
job_71,Moving boxes to storage,Looking for someone to help with moving boxes to storage in my home/office.,Moving,Setif,2025-04-13 05:21:32.009984,3654
job_72,Fix leaking sink,Looking for someone to help with fix leaking sink in my home/office.,Plumbing,Djelfa,2025-04-12 05:21:32.009984,2992
job_73,Assemble desk,Looking for someone to help with assemble desk in my home/office.,Assembly,Setif,2025-04-11 05:21:32.010473,5220
job_74,Lawn mowing and trimming,Looking for someone to help with lawn mowing and trimming in my home/office.,Gardening,Oran,2025-02-20 05:21:32.010473,7003
job_75,Assemble bookshelf,Looking for someone to help with assemble bookshelf in my home/office.,Assembly,Djelfa,2025-04-16 05:21:32.010473,7933
job_76,Install new faucet,Looking for someone to help with install new faucet in my home/office.,Plumbing,Setif,2025-03-26 05:21:32.011045,1132
job_77,Plant new garden,Looking for someone to help with plant new garden in my home/office.,Gardening,Setif,2025-04-30 05:21:32.011045,6211
job_78,Electrical troubleshooting,Looking for someone to help with electrical troubleshooting in my home/office.,Electrical,Annaba,2025-04-28 05:21:32.011045,6665
job_79,Lawn mowing and trimming,Looking for someone to help with lawn mowing and trimming in my home/office.,Gardening,Batna,2025-03-01 05:21:32.011478,1157
job_80,Tree pruning,Looking for someone to help with tree pruning in my home/office.,Gardening,Setif,2025-04-03 05:21:32.011791,7156
job_81,Paint exterior of house,Looking for someone to help with paint exterior of house in my home/office.,Painting,Djelfa,2025-03-01 05:21:32.012008,7494
job_82,Assemble desk,Looking for someone to help with assemble desk in my home/office.,Assembly,Annaba,2025-04-03 05:21:32.012008,1426
job_83,Electrical troubleshooting,Looking for someone to help with electrical troubleshooting in my home/office.,Electrical,Blida,2025-05-09 05:21:32.012008,3344
job_84,Package pickup,Looking for someone to help with package pickup in my home/office.,Delivery,Batna,2025-02-25 05:21:32.012516,5781
job_85,Paint exterior of house,Looking for someone to help with paint exterior of house in my home/office.,Painting,Setif,2025-04-01 05:21:32.012516,5695
job_86,Light fixture installation,Looking for someone to help with light fixture installation in my home/office.,Electrical,Djelfa,2025-04-07 05:21:32.012516,4502
job_87,House cleaning,Looking for someone to help with house cleaning in my home/office.,Cleaning,Algiers,2025-03-06 05:21:32.012516,1781
job_88,Moving assistance,Looking for someone to help with moving assistance in my home/office.,Moving,Djelfa,2025-03-21 05:21:32.012516,5926
job_89,Paint exterior of house,Looking for someone to help with paint exterior of house in my home/office.,Painting,Blida,2025-05-01 05:21:32.012516,2099
job_90,Tree pruning,Looking for someone to help with tree pruning in my home/office.,Gardening,Annaba,2025-02-28 05:21:32.013525,5396
job_91,Language lessons,Looking for someone to help with language lessons in my home/office.,Tutoring,Annaba,2025-04-26 05:21:32.013525,9405
job_92,Grocery delivery,Looking for someone to help with grocery delivery in my home/office.,Delivery,Oran,2025-03-29 05:21:32.013525,1672
job_93,Light fixture installation,Looking for someone to help with light fixture installation in my home/office.,Electrical,Batna,2025-03-23 05:21:32.013525,7788
job_94,Home network setup,Looking for someone to help with home network setup in my home/office.,Tech Support,Annaba,2025-03-20 05:21:32.013525,9389
job_95,Paint bedroom walls,Looking for someone to help with paint bedroom walls in my home/office.,Painting,Annaba,2025-03-05 05:21:32.014519,2270
job_96,Programming tutoring,Looking for someone to help with programming tutoring in my home/office.,Tutoring,Algiers,2025-05-04 05:21:32.014519,8048
job_97,House cleaning,Looking for someone to help with house cleaning in my home/office.,Cleaning,Oran,2025-02-24 05:21:32.014519,8854
job_98,Help moving heavy furniture,Looking for someone to help with help moving heavy furniture in my home/office.,Moving,Blida,2025-05-04 05:21:32.014519,7618
job_99,Paint exterior of house,Looking for someone to help with paint exterior of house in my home/office.,Painting,Batna,2025-03-04 05:21:32.014519,8584
job_100,Home network setup,Looking for someone to help with home network setup in my home/office.,Tech Support,Djelfa,2025-05-03 05:21:32.014519,7604
