job_id,title,description_mission_anglais,categorie_mission,location
job_168,Logo design in Jijel,Digital Services professional wanted for Logo design in Jijel. Medium-term project with possibility for extension.,Digital Services,Jijel
job_169,Homemade couscous in Biskra,Hiring for Homemade couscous in the Biskra area. Training provided. Fair payment and potential for regular work.,Food & Cuisine,Biskra
job_170,Plumbing repairs in Touggourt,Need assistance with Plumbing repairs in Touggourt. Ideal for retirees with knowledge in home services.,Home Services,Touggourt
job_171,Event decoration in Khenchela,Need assistance with Event decoration in Khenchela. Ideal for students with knowledge in events & celebrations.,Events & Celebrations,Khenchela
job_172,Traditional music performance in Naâma,Looking for an experienced professional for Traditional music performance in Naâma. The work involves immediate assistance with competitive compensation.,Events & Celebrations,Naâma
job_173,Website development in Bouira,Website development expert needed in Bouira. Project involves public venue. Good communication skills and punctuality essential.,Digital Services,Bouira
job_174,Science tutoring in El Oued,Hiring for Science tutoring in the El Oued area. References needed. Fair payment and potential for regular work.,Teaching & Education,El Oued
job_175,Bicycle repair in Oum El Bouaghi,Hiring for Bicycle repair in the Oum El Bouaghi area. Portfolio requested. Fair payment and potential for regular work.,Maintenance & Repairs,Oum El Bouaghi
job_176,City tours in El Oued,Hiring for City tours in the El Oued area. Training provided. Fair payment and potential for regular work.,Transportation,El Oued
job_177,Traditional dress sewing in Sétif,Traditional dress sewing expert needed in Sétif. Project involves private property. Good communication skills and punctuality essential.,Handcrafts,Sétif
job_178,Traditional hamam services in Guelma,Hiring for Traditional hamam services in the Guelma area. References needed. Fair payment and potential for regular work.,Beauty & Wellness,Guelma
job_179,Irrigation system installation in Sétif,Looking for talented agriculture & gardening specialist for Irrigation system installation work in Sétif. Project starts upon agreement.,Agriculture & Gardening,Sétif
job_180,Furniture transport in Aïn Defla,Hiring for Furniture transport in the Aïn Defla area. Experience required. Fair payment and potential for regular work.,Transportation,Aïn Defla
job_181,Home chef services in Béjaïa,Seeking skilled individual for Home chef services services in Béjaïa. Must have own tools and transportation. Weekday availability required.,Food & Cuisine,Béjaïa
job_182,Computer skills training in Sétif,Looking for an experienced professional for Computer skills training in Sétif. The work involves immediate assistance with competitive compensation.,Teaching & Education,Sétif
job_183,Graphic design in El Meniaa,Looking for talented digital services specialist for Graphic design work in El Meniaa. Project starts upon agreement.,Digital Services,El Meniaa
job_184,Bicycle repair in Ouargla,Looking for an experienced professional for Bicycle repair in Ouargla. The work involves one-time service with competitive compensation.,Maintenance & Repairs,Ouargla
job_185,Computer maintenance in Naâma,Looking for talented maintenance & repairs specialist for Computer maintenance work in Naâma. Project starts immediately.,Maintenance & Repairs,Naâma
job_186,Henna art in Souk Ahras,Seeking skilled individual for Henna art services in Souk Ahras. Must have own tools and transportation. Weekday availability required.,Beauty & Wellness,Souk Ahras
job_187,Electronics repair in Sidi Bel Abbès,Need assistance with Electronics repair in Sidi Bel Abbès. Ideal for professionals with knowledge in maintenance & repairs.,Maintenance & Repairs,Sidi Bel Abbès
job_188,Social media management in Boumerdès,Digital Services professional wanted for Social media management in Boumerdès. Long-term project with possibility for extension.,Digital Services,Boumerdès
job_189,Wedding planning in Chlef,Looking for talented events & celebrations specialist for Wedding planning work in Chlef. Project starts this month.,Events & Celebrations,Chlef
job_190,Traditional carpet making in In Guezzam,Need assistance with Traditional carpet making in In Guezzam. Ideal for retirees with knowledge in handcrafts.,Handcrafts,In Guezzam
job_191,Catering for special events in In Guezzam,Catering for special events expert needed in In Guezzam. Project involves commercial space. Good communication skills and punctuality essential.,Food & Cuisine,In Guezzam
job_192,Fruit picking in Béni Abbès,Seeking skilled individual for Fruit picking services in Béni Abbès. Must have own tools and transportation. Flexible hours required.,Agriculture & Gardening,Béni Abbès
job_193,Smartphone repair in Touggourt,Need assistance with Smartphone repair in Touggourt. Ideal for students with knowledge in maintenance & repairs.,Maintenance & Repairs,Touggourt
job_194,Housekeeping in El M'Ghair,Hiring for Housekeeping in the El M'Ghair area. References needed. Fair payment and potential for regular work.,Home Services,El M'Ghair
job_195,Website development in Béjaïa,Digital Services professional wanted for Website development in Béjaïa. Recurring project with possibility for extension.,Digital Services,Béjaïa
job_196,Traditional music performance in El M'Ghair,Seeking skilled individual for Traditional music performance services in El M'Ghair. Must have own tools and transportation. Weekday availability required.,Events & Celebrations,El M'Ghair
job_197,Private math tutoring in Skikda,Looking for talented teaching & education specialist for Private math tutoring work in Skikda. Project starts next week.,Teaching & Education,Skikda
job_198,Home appliance repair in Sétif,Need assistance with Home appliance repair in Sétif. Ideal for part-time workers with knowledge in maintenance & repairs.,Maintenance & Repairs,Sétif
job_199,Manicure & pedicure in Bouira,Looking for an experienced professional for Manicure & pedicure in Bouira. The work involves one-time service with competitive compensation.,Beauty & Wellness,Bouira
job_200,Graphic design in Aïn Témouchent,Seeking skilled individual for Graphic design services in Aïn Témouchent. Must have own tools and transportation. Weekend work required.,Digital Services,Aïn Témouchent
job_201,Catering services in M'Sila,Looking for an experienced professional for Catering services in M'Sila. The work involves ongoing support with competitive compensation.,Events & Celebrations,M'Sila
job_202,Traditional hamam services in Bordj Bou Arréridj,Beauty & Wellness professional wanted for Traditional hamam services in Bordj Bou Arréridj. Long-term project with possibility for extension.,Beauty & Wellness,Bordj Bou Arréridj
job_203,Moving assistance in El Oued,Need assistance with Moving assistance in El Oued. Ideal for part-time workers with knowledge in transportation.,Transportation,El Oued
job_204,Plant care in Sidi Bel Abbès,Need assistance with Plant care in Sidi Bel Abbès. Ideal for students with knowledge in agriculture & gardening.,Agriculture & Gardening,Sidi Bel Abbès
job_205,Traditional carpet making in Tlemcen,Hiring for Traditional carpet making in the Tlemcen area. Training provided. Fair payment and potential for regular work.,Handcrafts,Tlemcen
job_206,Cooking lessons in Tébessa,Hiring for Cooking lessons in the Tébessa area. Training provided. Fair payment and potential for regular work.,Food & Cuisine,Tébessa
job_207,Traditional music performance in Skikda,Need assistance with Traditional music performance in Skikda. Ideal for part-time workers with knowledge in events & celebrations.,Events & Celebrations,Skikda
job_208,Traditional music performance in Constantine,Traditional music performance expert needed in Constantine. Project involves residential work. Good communication skills and punctuality essential.,Events & Celebrations,Constantine
job_209,Garden maintenance in Tiaret,Garden maintenance expert needed in Tiaret. Project involves commercial space. Good communication skills and punctuality essential.,Agriculture & Gardening,Tiaret
job_210,Home chef services in Souk Ahras,Looking for an experienced professional for Home chef services in Souk Ahras. The work involves immediate assistance with competitive compensation.,Food & Cuisine,Souk Ahras
job_211,Traditional bread baking in Illizi,Looking for an experienced professional for Traditional bread baking in Illizi. The work involves regular maintenance with competitive compensation.,Food & Cuisine,Illizi
job_212,Manicure & pedicure in Sidi Bel Abbès,Hiring for Manicure & pedicure in the Sidi Bel Abbès area. Experience required. Fair payment and potential for regular work.,Beauty & Wellness,Sidi Bel Abbès
job_213,Leather crafting in Bouira,Leather crafting expert needed in Bouira. Project involves public venue. Good communication skills and punctuality essential.,Handcrafts,Bouira
job_214,Cooking lessons in Béchar,Looking for talented food & cuisine specialist for Cooking lessons work in Béchar. Project starts immediately.,Food & Cuisine,Béchar
job_215,Home chef services in El M'Ghair,Looking for talented food & cuisine specialist for Home chef services work in El M'Ghair. Project starts this month.,Food & Cuisine,El M'Ghair
job_216,Traditional carpet making in Chlef,Need assistance with Traditional carpet making in Chlef. Ideal for professionals with knowledge in handcrafts.,Handcrafts,Chlef
job_217,Furniture transport in Bordj Bou Arréridj,Hiring for Furniture transport in the Bordj Bou Arréridj area. References needed. Fair payment and potential for regular work.,Transportation,Bordj Bou Arréridj
job_218,Massage therapy in Laghouat,Looking for talented beauty & wellness specialist for Massage therapy work in Laghouat. Project starts next week.,Beauty & Wellness,Laghouat
job_219,Car mechanics in El Meniaa,Seeking skilled individual for Car mechanics services in El Meniaa. Must have own tools and transportation. Weekend work required.,Maintenance & Repairs,El Meniaa
job_220,Garden maintenance in Guelma,Need assistance with Garden maintenance in Guelma. Ideal for professionals with knowledge in agriculture & gardening.,Agriculture & Gardening,Guelma
job_221,Moving assistance in Médéa,Hiring for Moving assistance in the Médéa area. Portfolio requested. Fair payment and potential for regular work.,Transportation,Médéa
job_222,Home renovation in Tipaza,Home Services professional wanted for Home renovation in Tipaza. Short-term project with possibility for extension.,Home Services,Tipaza
job_223,Social media management in Béchar,Hiring for Social media management in the Béchar area. Portfolio requested. Fair payment and potential for regular work.,Digital Services,Béchar
job_224,Bicycle repair in Touggourt,Seeking skilled individual for Bicycle repair services in Touggourt. Must have own tools and transportation. Weekend work required.,Maintenance & Repairs,Touggourt
job_225,Traditional carpet making in Blida,Handcrafts professional wanted for Traditional carpet making in Blida. Recurring project with possibility for extension.,Handcrafts,Blida
job_226,Garden maintenance in Tindouf,Hiring for Garden maintenance in the Tindouf area. References needed. Fair payment and potential for regular work.,Agriculture & Gardening,Tindouf
job_227,Electronics repair in Oum El Bouaghi,Electronics repair expert needed in Oum El Bouaghi. Project involves commercial space. Good communication skills and punctuality essential.,Maintenance & Repairs,Oum El Bouaghi
job_228,Housekeeping in M'Sila,Looking for talented home services specialist for Housekeeping work in M'Sila. Project starts immediately.,Home Services,M'Sila
job_229,DJ services in M'Sila,DJ services expert needed in M'Sila. Project involves private property. Good communication skills and punctuality essential.,Events & Celebrations,M'Sila
job_230,Traditional hamam services in Souk Ahras,Traditional hamam services expert needed in Souk Ahras. Project involves commercial space. Good communication skills and punctuality essential.,Beauty & Wellness,Souk Ahras
job_231,Smartphone repair in Bordj Bou Arréridj,Smartphone repair expert needed in Bordj Bou Arréridj. Project involves commercial space. Good communication skills and punctuality essential.,Maintenance & Repairs,Bordj Bou Arréridj
job_232,Homemade couscous in Laghouat,Need assistance with Homemade couscous in Laghouat. Ideal for part-time workers with knowledge in food & cuisine.,Food & Cuisine,Laghouat
job_233,Arabic language teaching in El Tarf,Hiring for Arabic language teaching in the El Tarf area. References needed. Fair payment and potential for regular work.,Teaching & Education,El Tarf
job_234,Traditional dress sewing in Aïn Témouchent,Need assistance with Traditional dress sewing in Aïn Témouchent. Ideal for part-time workers with knowledge in handcrafts.,Handcrafts,Aïn Témouchent
job_235,Logo design in Saïda,Need assistance with Logo design in Saïda. Ideal for students with knowledge in digital services.,Digital Services,Saïda
job_236,Home appliance repair in Relizane,Home appliance repair expert needed in Relizane. Project involves residential work. Good communication skills and punctuality essential.,Maintenance & Repairs,Relizane
job_237,Housekeeping in Relizane,Housekeeping expert needed in Relizane. Project involves residential work. Good communication skills and punctuality essential.,Home Services,Relizane
job_238,Olive harvesting in Relizane,Need assistance with Olive harvesting in Relizane. Ideal for retirees with knowledge in agriculture & gardening.,Agriculture & Gardening,Relizane
job_239,Moving assistance in El Bayadh,Need assistance with Moving assistance in El Bayadh. Ideal for retirees with knowledge in transportation.,Transportation,El Bayadh
job_240,Traditional hamam services in Batna,Looking for an experienced professional for Traditional hamam services in Batna. The work involves ongoing support with competitive compensation.,Beauty & Wellness,Batna
job_241,Video editing in El Tarf,Looking for an experienced professional for Video editing in El Tarf. The work involves regular maintenance with competitive compensation.,Digital Services,El Tarf
job_242,Manicure & pedicure in Mascara,Manicure & pedicure expert needed in Mascara. Project involves public venue. Good communication skills and punctuality essential.,Beauty & Wellness,Mascara
job_243,Cooking lessons in Tindouf,Seeking skilled individual for Cooking lessons services in Tindouf. Must have own tools and transportation. Weekend work required.,Food & Cuisine,Tindouf
job_244,City tours in Tindouf,Transportation professional wanted for City tours in Tindouf. Short-term project with possibility for extension.,Transportation,Tindouf
job_245,Wood crafting in Béchar,Handcrafts professional wanted for Wood crafting in Béchar. Short-term project with possibility for extension.,Handcrafts,Béchar
job_246,Intercity transport in Oran,Need assistance with Intercity transport in Oran. Ideal for professionals with knowledge in transportation.,Transportation,Oran
job_247,Traditional music performance in Béjaïa,Traditional music performance expert needed in Béjaïa. Project involves private property. Good communication skills and punctuality essential.,Events & Celebrations,Béjaïa
job_248,Airport pickup in Souk Ahras,Need assistance with Airport pickup in Souk Ahras. Ideal for students with knowledge in transportation.,Transportation,Souk Ahras
job_249,Painting services in Béni Abbès,Painting services expert needed in Béni Abbès. Project involves commercial space. Good communication skills and punctuality essential.,Home Services,Béni Abbès
job_250,Social media management in Mila,Looking for an experienced professional for Social media management in Mila. The work involves regular maintenance with competitive compensation.,Digital Services,Mila
job_251,Private math tutoring in Adrar,Teaching & Education professional wanted for Private math tutoring in Adrar. Long-term project with possibility for extension.,Teaching & Education,Adrar
job_252,Airport pickup in Béni Abbès,Seeking skilled individual for Airport pickup services in Béni Abbès. Must have own tools and transportation. Urgent need required.,Transportation,Béni Abbès
job_253,Logo design in El Meniaa,Digital Services professional wanted for Logo design in El Meniaa. Medium-term project with possibility for extension.,Digital Services,El Meniaa
job_254,Homemade couscous in Bouira,Need assistance with Homemade couscous in Bouira. Ideal for retirees with knowledge in food & cuisine.,Food & Cuisine,Bouira
job_255,Wedding planning in Médéa,Need assistance with Wedding planning in Médéa. Ideal for retirees with knowledge in events & celebrations.,Events & Celebrations,Médéa
job_256,E-commerce setup in Tébessa,Hiring for E-commerce setup in the Tébessa area. Portfolio requested. Fair payment and potential for regular work.,Digital Services,Tébessa
job_257,Event photography in Alger,Looking for an experienced professional for Event photography in Alger. The work involves immediate assistance with competitive compensation.,Events & Celebrations,Alger
job_258,E-commerce setup in Skikda,Looking for an experienced professional for E-commerce setup in Skikda. The work involves one-time service with competitive compensation.,Digital Services,Skikda
job_259,University exam preparation in Blida,Need assistance with University exam preparation in Blida. Ideal for students with knowledge in teaching & education.,Teaching & Education,Blida
job_260,Furniture assembly in Oran,Hiring for Furniture assembly in the Oran area. Training provided. Fair payment and potential for regular work.,Home Services,Oran
job_261,Moving assistance in Skikda,Need assistance with Moving assistance in Skikda. Ideal for part-time workers with knowledge in transportation.,Transportation,Skikda
job_262,University exam preparation in In Salah,Teaching & Education professional wanted for University exam preparation in In Salah. Recurring project with possibility for extension.,Teaching & Education,In Salah
job_263,Agricultural consulting in El Tarf,Agricultural consulting expert needed in El Tarf. Project involves private property. Good communication skills and punctuality essential.,Agriculture & Gardening,El Tarf
job_264,Car mechanics in Tamanrasset,Need assistance with Car mechanics in Tamanrasset. Ideal for retirees with knowledge in maintenance & repairs.,Maintenance & Repairs,Tamanrasset
job_265,Event decoration in Tizi Ouzou,Events & Celebrations professional wanted for Event decoration in Tizi Ouzou. Medium-term project with possibility for extension.,Events & Celebrations,Tizi Ouzou
job_266,Home appliance repair in Ghardaïa,Seeking skilled individual for Home appliance repair services in Ghardaïa. Must have own tools and transportation. Flexible hours required.,Maintenance & Repairs,Ghardaïa
job_267,French language lessons in Bordj Bou Arréridj,Looking for talented teaching & education specialist for French language lessons work in Bordj Bou Arréridj. Project starts immediately.,Teaching & Education,Bordj Bou Arréridj
job_268,Garden maintenance in Ouled Djellal,Hiring for Garden maintenance in the Ouled Djellal area. References needed. Fair payment and potential for regular work.,Agriculture & Gardening,Ouled Djellal
job_269,Garden maintenance in Boumerdès,Looking for talented agriculture & gardening specialist for Garden maintenance work in Boumerdès. Project starts immediately.,Agriculture & Gardening,Boumerdès
job_270,Traditional bread baking in Blida,Looking for an experienced professional for Traditional bread baking in Blida. The work involves immediate assistance with competitive compensation.,Food & Cuisine,Blida
job_271,Video editing in Bordj Bou Arréridj,Digital Services professional wanted for Video editing in Bordj Bou Arréridj. Recurring project with possibility for extension.,Digital Services,Bordj Bou Arréridj
job_272,Bicycle repair in Naâma,Seeking skilled individual for Bicycle repair services in Naâma. Must have own tools and transportation. Urgent need required.,Maintenance & Repairs,Naâma
job_273,DJ services in Tissemsilt,Looking for talented events & celebrations specialist for DJ services work in Tissemsilt. Project starts this month.,Events & Celebrations,Tissemsilt
job_274,Delivery services in El Tarf,Transportation professional wanted for Delivery services in El Tarf. Medium-term project with possibility for extension.,Transportation,El Tarf
job_275,Mobile app development in Laghouat,Hiring for Mobile app development in the Laghouat area. Training provided. Fair payment and potential for regular work.,Digital Services,Laghouat
job_276,Traditional dress sewing in Aïn Defla,Need assistance with Traditional dress sewing in Aïn Defla. Ideal for part-time workers with knowledge in handcrafts.,Handcrafts,Aïn Defla
job_277,Painting services in Djanet,Need assistance with Painting services in Djanet. Ideal for retirees with knowledge in home services.,Home Services,Djanet
job_278,Home appliance repair in Touggourt,Looking for an experienced professional for Home appliance repair in Touggourt. The work involves ongoing support with competitive compensation.,Maintenance & Repairs,Touggourt
job_279,Air conditioner maintenance in Bordj Badji Mokhtar,Looking for an experienced professional for Air conditioner maintenance in Bordj Badji Mokhtar. The work involves regular maintenance with competitive compensation.,Home Services,Bordj Badji Mokhtar
job_280,Bicycle repair in Tindouf,Maintenance & Repairs professional wanted for Bicycle repair in Tindouf. Medium-term project with possibility for extension.,Maintenance & Repairs,Tindouf
job_281,Catering services in Tipaza,Looking for talented events & celebrations specialist for Catering services work in Tipaza. Project starts this month.,Events & Celebrations,Tipaza
job_282,Homemade couscous in Aïn Témouchent,Homemade couscous expert needed in Aïn Témouchent. Project involves residential work. Good communication skills and punctuality essential.,Food & Cuisine,Aïn Témouchent
job_283,Home hairdressing in Biskra,Seeking skilled individual for Home hairdressing services in Biskra. Must have own tools and transportation. Urgent need required.,Beauty & Wellness,Biskra
job_284,Mobile app development in Aïn Defla,Hiring for Mobile app development in the Aïn Defla area. References needed. Fair payment and potential for regular work.,Digital Services,Aïn Defla
job_285,Airport pickup in Ghardaïa,Need assistance with Airport pickup in Ghardaïa. Ideal for professionals with knowledge in transportation.,Transportation,Ghardaïa
job_286,City tours in Tissemsilt,Need assistance with City tours in Tissemsilt. Ideal for retirees with knowledge in transportation.,Transportation,Tissemsilt
job_287,Catering for special events in Tizi Ouzou,Catering for special events expert needed in Tizi Ouzou. Project involves private property. Good communication skills and punctuality essential.,Food & Cuisine,Tizi Ouzou
job_288,Irrigation system installation in Batna,Agriculture & Gardening professional wanted for Irrigation system installation in Batna. Short-term project with possibility for extension.,Agriculture & Gardening,Batna
job_289,Agricultural consulting in Souk Ahras,Agriculture & Gardening professional wanted for Agricultural consulting in Souk Ahras. Recurring project with possibility for extension.,Agriculture & Gardening,Souk Ahras
job_290,Homemade couscous in Touggourt,Hiring for Homemade couscous in the Touggourt area. Training provided. Fair payment and potential for regular work.,Food & Cuisine,Touggourt
job_291,Furniture transport in Mostaganem,Looking for an experienced professional for Furniture transport in Mostaganem. The work involves ongoing support with competitive compensation.,Transportation,Mostaganem
job_292,Electronics repair in Tébessa,Seeking skilled individual for Electronics repair services in Tébessa. Must have own tools and transportation. Urgent need required.,Maintenance & Repairs,Tébessa
job_293,Traditional dress sewing in Tipaza,Looking for talented handcrafts specialist for Traditional dress sewing work in Tipaza. Project starts this month.,Handcrafts,Tipaza
job_294,Traditional bread baking in Khenchela,Looking for an experienced professional for Traditional bread baking in Khenchela. The work involves one-time service with competitive compensation.,Food & Cuisine,Khenchela
job_295,Agricultural consulting in Annaba,Seeking skilled individual for Agricultural consulting services in Annaba. Must have own tools and transportation. Weekend work required.,Agriculture & Gardening,Annaba
job_296,Olive harvesting in Alger,Looking for an experienced professional for Olive harvesting in Alger. The work involves one-time service with competitive compensation.,Agriculture & Gardening,Alger
job_297,City tours in Médéa,Hiring for City tours in the Médéa area. Training provided. Fair payment and potential for regular work.,Transportation,Médéa
job_298,City tours in In Guezzam,Looking for an experienced professional for City tours in In Guezzam. The work involves ongoing support with competitive compensation.,Transportation,In Guezzam
job_299,Private math tutoring in Ouled Djellal,Hiring for Private math tutoring in the Ouled Djellal area. Training provided. Fair payment and potential for regular work.,Teaching & Education,Ouled Djellal
job_300,Painting services in In Salah,Home Services professional wanted for Painting services in In Salah. Recurring project with possibility for extension.,Home Services,In Salah
job_301,Website development in Oran,Seeking skilled individual for Website development services in Oran. Must have own tools and transportation. Urgent need required.,Digital Services,Oran
job_302,Henna art in Aïn Defla,Need assistance with Henna art in Aïn Defla. Ideal for retirees with knowledge in beauty & wellness.,Beauty & Wellness,Aïn Defla
job_303,Home chef services in Tissemsilt,Hiring for Home chef services in the Tissemsilt area. Experience required. Fair payment and potential for regular work.,Food & Cuisine,Tissemsilt
job_304,Airport pickup in Tiaret,Need assistance with Airport pickup in Tiaret. Ideal for students with knowledge in transportation.,Transportation,Tiaret
job_305,Furniture assembly in Tamanrasset,Looking for an experienced professional for Furniture assembly in Tamanrasset. The work involves regular maintenance with competitive compensation.,Home Services,Tamanrasset
job_306,Private math tutoring in Tébessa,Private math tutoring expert needed in Tébessa. Project involves residential work. Good communication skills and punctuality essential.,Teaching & Education,Tébessa
job_307,Catering for special events in Tizi Ouzou,Seeking skilled individual for Catering for special events services in Tizi Ouzou. Must have own tools and transportation. Weekend work required.,Food & Cuisine,Tizi Ouzou
job_308,Traditional pastry making in Batna,Traditional pastry making expert needed in Batna. Project involves private property. Good communication skills and punctuality essential.,Food & Cuisine,Batna
job_309,Event photography in Tissemsilt,Looking for talented events & celebrations specialist for Event photography work in Tissemsilt. Project starts next week.,Events & Celebrations,Tissemsilt
job_310,Home hairdressing in Aïn Témouchent,Hiring for Home hairdressing in the Aïn Témouchent area. Experience required. Fair payment and potential for regular work.,Beauty & Wellness,Aïn Témouchent
job_311,Wedding planning in Naâma,Need assistance with Wedding planning in Naâma. Ideal for part-time workers with knowledge in events & celebrations.,Events & Celebrations,Naâma
job_312,Smartphone repair in Sidi Bel Abbès,Seeking skilled individual for Smartphone repair services in Sidi Bel Abbès. Must have own tools and transportation. Weekend work required.,Maintenance & Repairs,Sidi Bel Abbès
job_313,Traditional music performance in Oum El Bouaghi,Need assistance with Traditional music performance in Oum El Bouaghi. Ideal for retirees with knowledge in events & celebrations.,Events & Celebrations,Oum El Bouaghi
job_314,Massage therapy in Ouargla,Need assistance with Massage therapy in Ouargla. Ideal for part-time workers with knowledge in beauty & wellness.,Beauty & Wellness,Ouargla
job_315,Traditional dress sewing in El Oued,Looking for an experienced professional for Traditional dress sewing in El Oued. The work involves ongoing support with competitive compensation.,Handcrafts,El Oued
job_316,E-commerce setup in Annaba,Digital Services professional wanted for E-commerce setup in Annaba. Long-term project with possibility for extension.,Digital Services,Annaba
job_317,Computer maintenance in Bordj Bou Arréridj,Need assistance with Computer maintenance in Bordj Bou Arréridj. Ideal for students with knowledge in maintenance & repairs.,Maintenance & Repairs,Bordj Bou Arréridj
job_318,Smartphone repair in El Oued,Maintenance & Repairs professional wanted for Smartphone repair in El Oued. Long-term project with possibility for extension.,Maintenance & Repairs,El Oued
job_319,University exam preparation in Tébessa,Need assistance with University exam preparation in Tébessa. Ideal for professionals with knowledge in teaching & education.,Teaching & Education,Tébessa
job_320,Electronics repair in Ghardaïa,Maintenance & Repairs professional wanted for Electronics repair in Ghardaïa. Medium-term project with possibility for extension.,Maintenance & Repairs,Ghardaïa
job_321,Cooking lessons in Aïn Témouchent,Food & Cuisine professional wanted for Cooking lessons in Aïn Témouchent. Long-term project with possibility for extension.,Food & Cuisine,Aïn Témouchent
job_322,Smartphone repair in M'Sila,Maintenance & Repairs professional wanted for Smartphone repair in M'Sila. Medium-term project with possibility for extension.,Maintenance & Repairs,M'Sila
job_323,Electrical installations in Timimoun,Electrical installations expert needed in Timimoun. Project involves residential work. Good communication skills and punctuality essential.,Home Services,Timimoun
job_324,Car mechanics in Tizi Ouzou,Seeking skilled individual for Car mechanics services in Tizi Ouzou. Must have own tools and transportation. Urgent need required.,Maintenance & Repairs,Tizi Ouzou
job_325,Science tutoring in Skikda,Seeking skilled individual for Science tutoring services in Skikda. Must have own tools and transportation. Flexible hours required.,Teaching & Education,Skikda
job_326,Science tutoring in Béni Abbès,Science tutoring expert needed in Béni Abbès. Project involves private property. Good communication skills and punctuality essential.,Teaching & Education,Béni Abbès
job_327,Traditional music performance in Naâma,Traditional music performance expert needed in Naâma. Project involves residential work. Good communication skills and punctuality essential.,Events & Celebrations,Naâma
job_328,Plumbing repairs in Ouargla,Hiring for Plumbing repairs in the Ouargla area. Experience required. Fair payment and potential for regular work.,Home Services,Ouargla
job_329,Plant care in Sétif,Need assistance with Plant care in Sétif. Ideal for retirees with knowledge in agriculture & gardening.,Agriculture & Gardening,Sétif
job_330,Olive harvesting in Illizi,Need assistance with Olive harvesting in Illizi. Ideal for students with knowledge in agriculture & gardening.,Agriculture & Gardening,Illizi
job_331,Traditional hamam services in Ouled Djellal,Hiring for Traditional hamam services in the Ouled Djellal area. Portfolio requested. Fair payment and potential for regular work.,Beauty & Wellness,Ouled Djellal
job_332,University exam preparation in Relizane,Looking for talented teaching & education specialist for University exam preparation work in Relizane. Project starts this month.,Teaching & Education,Relizane
