job_id,title,description_mission_anglais,categorie_mission,location
job_333,Plant care in Djelfa,Seeking skilled individual for Plant care services in Djelfa. Must have own tools and transportation. Weekday availability required.,Agriculture & Gardening,Djelfa
job_334,Smartphone repair in In Guezzam,Maintenance & Repairs professional wanted for Smartphone repair in In Guezzam. Medium-term project with possibility for extension.,Maintenance & Repairs,In Guezzam
job_335,Video editing in Bordj Bou Arréridj,Looking for talented digital services specialist for Video editing work in Bordj Bou Arréridj. Project starts upon agreement.,Digital Services,Bordj Bou Arréridj
job_336,Bicycle repair in Tébessa,Bicycle repair expert needed in Tébessa. Project involves residential work. Good communication skills and punctuality essential.,Maintenance & Repairs,Tébessa
job_337,Massage therapy in Tébessa,Hiring for Massage therapy in the Tébessa area. Training provided. Fair payment and potential for regular work.,Beauty & Wellness,Tébessa
job_338,Intercity transport in Sidi Bel Abbès,Seeking skilled individual for Intercity transport services in Sidi Bel Abbès. Must have own tools and transportation. Weekend work required.,Transportation,Sidi Bel Abbès
job_339,Pottery services in Tipaza,Looking for talented handcrafts specialist for Pottery services work in Tipaza. Project starts upon agreement.,Handcrafts,Tipaza
job_340,Makeup services in Alger,Makeup services expert needed in Alger. Project involves private property. Good communication skills and punctuality essential.,Beauty & Wellness,Alger
job_341,Massage therapy in Relizane,Beauty & Wellness professional wanted for Massage therapy in Relizane. Long-term project with possibility for extension.,Beauty & Wellness,Relizane
job_342,Olive harvesting in Bordj Badji Mokhtar,Need assistance with Olive harvesting in Bordj Badji Mokhtar. Ideal for professionals with knowledge in agriculture & gardening.,Agriculture & Gardening,Bordj Badji Mokhtar
job_343,Mobile app development in Souk Ahras,Looking for an experienced professional for Mobile app development in Souk Ahras. The work involves one-time service with competitive compensation.,Digital Services,Souk Ahras
job_344,Traditional carpet making in Béjaïa,Looking for an experienced professional for Traditional carpet making in Béjaïa. The work involves one-time service with competitive compensation.,Handcrafts,Béjaïa
job_345,Private math tutoring in Constantine,Need assistance with Private math tutoring in Constantine. Ideal for students with knowledge in teaching & education.,Teaching & Education,Constantine
job_346,Science tutoring in Laghouat,Looking for talented teaching & education specialist for Science tutoring work in Laghouat. Project starts immediately.,Teaching & Education,Laghouat
job_347,Massage therapy in Tindouf,Seeking skilled individual for Massage therapy services in Tindouf. Must have own tools and transportation. Weekday availability required.,Beauty & Wellness,Tindouf
job_348,Leather crafting in Tamanrasset,Hiring for Leather crafting in the Tamanrasset area. Experience required. Fair payment and potential for regular work.,Handcrafts,Tamanrasset
job_349,Traditional music performance in El Meniaa,Looking for an experienced professional for Traditional music performance in El Meniaa. The work involves ongoing support with competitive compensation.,Events & Celebrations,El Meniaa
job_350,Logo design in Saïda,Logo design expert needed in Saïda. Project involves commercial space. Good communication skills and punctuality essential.,Digital Services,Saïda
job_351,Massage therapy in Skikda,Need assistance with Massage therapy in Skikda. Ideal for retirees with knowledge in beauty & wellness.,Beauty & Wellness,Skikda
job_352,Agricultural consulting in Mila,Need assistance with Agricultural consulting in Mila. Ideal for retirees with knowledge in agriculture & gardening.,Agriculture & Gardening,Mila
job_353,Home chef services in Béni Abbès,Hiring for Home chef services in the Béni Abbès area. Training provided. Fair payment and potential for regular work.,Food & Cuisine,Béni Abbès
job_354,Traditional carpet making in Mascara,Seeking skilled individual for Traditional carpet making services in Mascara. Must have own tools and transportation. Flexible hours required.,Handcrafts,Mascara
job_355,Wedding planning in Boumerdès,Hiring for Wedding planning in the Boumerdès area. Experience required. Fair payment and potential for regular work.,Events & Celebrations,Boumerdès
job_356,Homemade couscous in Alger,Hiring for Homemade couscous in the Alger area. Portfolio requested. Fair payment and potential for regular work.,Food & Cuisine,Alger
job_357,Garden maintenance in Djelfa,Seeking skilled individual for Garden maintenance services in Djelfa. Must have own tools and transportation. Weekday availability required.,Agriculture & Gardening,Djelfa
job_358,Car mechanics in Annaba,Car mechanics expert needed in Annaba. Project involves public venue. Good communication skills and punctuality essential.,Maintenance & Repairs,Annaba
job_359,Home renovation in Blida,Hiring for Home renovation in the Blida area. Experience required. Fair payment and potential for regular work.,Home Services,Blida
job_360,Leather crafting in Ghardaïa,Need assistance with Leather crafting in Ghardaïa. Ideal for students with knowledge in handcrafts.,Handcrafts,Ghardaïa
job_361,Event photography in Mascara,Events & Celebrations professional wanted for Event photography in Mascara. Medium-term project with possibility for extension.,Events & Celebrations,Mascara
job_362,Painting services in M'Sila,Looking for an experienced professional for Painting services in M'Sila. The work involves regular maintenance with competitive compensation.,Home Services,M'Sila
job_363,Home renovation in Tissemsilt,Seeking skilled individual for Home renovation services in Tissemsilt. Must have own tools and transportation. Weekend work required.,Home Services,Tissemsilt
job_364,Graphic design in Guelma,Need assistance with Graphic design in Guelma. Ideal for students with knowledge in digital services.,Digital Services,Guelma
job_365,French language lessons in Aïn Defla,Looking for talented teaching & education specialist for French language lessons work in Aïn Defla. Project starts this month.,Teaching & Education,Aïn Defla
job_366,Science tutoring in Tébessa,Teaching & Education professional wanted for Science tutoring in Tébessa. Short-term project with possibility for extension.,Teaching & Education,Tébessa
job_367,Pottery services in Mascara,Handcrafts professional wanted for Pottery services in Mascara. Recurring project with possibility for extension.,Handcrafts,Mascara
job_368,Catering for special events in El Tarf,Looking for an experienced professional for Catering for special events in El Tarf. The work involves immediate assistance with competitive compensation.,Food & Cuisine,El Tarf
job_369,Mobile app development in Aïn Defla,Digital Services professional wanted for Mobile app development in Aïn Defla. Recurring project with possibility for extension.,Digital Services,Aïn Defla
job_370,Private math tutoring in Béjaïa,Hiring for Private math tutoring in the Béjaïa area. Experience required. Fair payment and potential for regular work.,Teaching & Education,Béjaïa
job_371,University exam preparation in Batna,Looking for an experienced professional for University exam preparation in Batna. The work involves one-time service with competitive compensation.,Teaching & Education,Batna
job_372,Wood crafting in Tiaret,Seeking skilled individual for Wood crafting services in Tiaret. Must have own tools and transportation. Weekend work required.,Handcrafts,Tiaret
job_373,Traditional bread baking in El Oued,Hiring for Traditional bread baking in the El Oued area. Experience required. Fair payment and potential for regular work.,Food & Cuisine,El Oued
job_374,Catering for special events in Oum El Bouaghi,Catering for special events expert needed in Oum El Bouaghi. Project involves private property. Good communication skills and punctuality essential.,Food & Cuisine,Oum El Bouaghi
job_375,Mobile app development in Blida,Mobile app development expert needed in Blida. Project involves commercial space. Good communication skills and punctuality essential.,Digital Services,Blida
job_376,Computer maintenance in Aïn Témouchent,Seeking skilled individual for Computer maintenance services in Aïn Témouchent. Must have own tools and transportation. Flexible hours required.,Maintenance & Repairs,Aïn Témouchent
job_377,Science tutoring in Djanet,Looking for an experienced professional for Science tutoring in Djanet. The work involves ongoing support with competitive compensation.,Teaching & Education,Djanet
job_378,Air conditioner maintenance in Béchar,Need assistance with Air conditioner maintenance in Béchar. Ideal for students with knowledge in home services.,Home Services,Béchar
job_379,Car mechanics in Tindouf,Hiring for Car mechanics in the Tindouf area. Experience required. Fair payment and potential for regular work.,Maintenance & Repairs,Tindouf
job_380,Traditional dress sewing in Batna,Handcrafts professional wanted for Traditional dress sewing in Batna. Recurring project with possibility for extension.,Handcrafts,Batna
job_381,Leather crafting in Naâma,Need assistance with Leather crafting in Naâma. Ideal for students with knowledge in handcrafts.,Handcrafts,Naâma
job_382,Event decoration in El Bayadh,Need assistance with Event decoration in El Bayadh. Ideal for professionals with knowledge in events & celebrations.,Events & Celebrations,El Bayadh
job_383,Intercity transport in Skikda,Intercity transport expert needed in Skikda. Project involves residential work. Good communication skills and punctuality essential.,Transportation,Skikda
job_384,Science tutoring in M'Sila,Science tutoring expert needed in M'Sila. Project involves public venue. Good communication skills and punctuality essential.,Teaching & Education,M'Sila
job_385,Traditional dress sewing in Batna,Handcrafts professional wanted for Traditional dress sewing in Batna. Long-term project with possibility for extension.,Handcrafts,Batna
job_386,Olive harvesting in El Meniaa,Looking for an experienced professional for Olive harvesting in El Meniaa. The work involves one-time service with competitive compensation.,Agriculture & Gardening,El Meniaa
job_387,Irrigation system installation in Mostaganem,Need assistance with Irrigation system installation in Mostaganem. Ideal for retirees with knowledge in agriculture & gardening.,Agriculture & Gardening,Mostaganem
job_388,Irrigation system installation in Médéa,Seeking skilled individual for Irrigation system installation services in Médéa. Must have own tools and transportation. Weekend work required.,Agriculture & Gardening,Médéa
job_389,Traditional dress sewing in Illizi,Traditional dress sewing expert needed in Illizi. Project involves residential work. Good communication skills and punctuality essential.,Handcrafts,Illizi
job_390,Wedding planning in Chlef,Events & Celebrations professional wanted for Wedding planning in Chlef. Long-term project with possibility for extension.,Events & Celebrations,Chlef
job_391,Electrical installations in Laghouat,Looking for an experienced professional for Electrical installations in Laghouat. The work involves ongoing support with competitive compensation.,Home Services,Laghouat
job_392,Smartphone repair in Djelfa,Looking for an experienced professional for Smartphone repair in Djelfa. The work involves one-time service with competitive compensation.,Maintenance & Repairs,Djelfa
job_393,Airport pickup in Djanet,Transportation professional wanted for Airport pickup in Djanet. Medium-term project with possibility for extension.,Transportation,Djanet
job_394,Garden maintenance in Bordj Badji Mokhtar,Garden maintenance expert needed in Bordj Badji Mokhtar. Project involves residential work. Good communication skills and punctuality essential.,Agriculture & Gardening,Bordj Badji Mokhtar
job_395,University exam preparation in Timimoun,Need assistance with University exam preparation in Timimoun. Ideal for students with knowledge in teaching & education.,Teaching & Education,Timimoun
job_396,Plant care in Mostaganem,Need assistance with Plant care in Mostaganem. Ideal for professionals with knowledge in agriculture & gardening.,Agriculture & Gardening,Mostaganem
job_397,Agricultural consulting in Djanet,Agricultural consulting expert needed in Djanet. Project involves public venue. Good communication skills and punctuality essential.,Agriculture & Gardening,Djanet
job_398,Traditional dress sewing in Oran,Traditional dress sewing expert needed in Oran. Project involves residential work. Good communication skills and punctuality essential.,Handcrafts,Oran
job_399,Irrigation system installation in Mila,Looking for talented agriculture & gardening specialist for Irrigation system installation work in Mila. Project starts upon agreement.,Agriculture & Gardening,Mila
job_400,Arabic language teaching in El M'Ghair,Teaching & Education professional wanted for Arabic language teaching in El M'Ghair. Recurring project with possibility for extension.,Teaching & Education,El M'Ghair
job_401,Plant care in Oran,Agriculture & Gardening professional wanted for Plant care in Oran. Medium-term project with possibility for extension.,Agriculture & Gardening,Oran
job_402,Car mechanics in Djanet,Seeking skilled individual for Car mechanics services in Djanet. Must have own tools and transportation. Urgent need required.,Maintenance & Repairs,Djanet
job_403,Computer skills training in Tizi Ouzou,Computer skills training expert needed in Tizi Ouzou. Project involves public venue. Good communication skills and punctuality essential.,Teaching & Education,Tizi Ouzou
job_404,Computer skills training in Mascara,Looking for an experienced professional for Computer skills training in Mascara. The work involves immediate assistance with competitive compensation.,Teaching & Education,Mascara
job_405,Car mechanics in Sétif,Looking for talented maintenance & repairs specialist for Car mechanics work in Sétif. Project starts upon agreement.,Maintenance & Repairs,Sétif
job_406,Traditional carpet making in In Guezzam,Handcrafts professional wanted for Traditional carpet making in In Guezzam. Long-term project with possibility for extension.,Handcrafts,In Guezzam
job_407,Traditional carpet making in Béni Abbès,Traditional carpet making expert needed in Béni Abbès. Project involves private property. Good communication skills and punctuality essential.,Handcrafts,Béni Abbès
job_408,Makeup services in Batna,Need assistance with Makeup services in Batna. Ideal for retirees with knowledge in beauty & wellness.,Beauty & Wellness,Batna
job_409,Traditional carpet making in Touggourt,Handcrafts professional wanted for Traditional carpet making in Touggourt. Long-term project with possibility for extension.,Handcrafts,Touggourt
job_410,Plumbing repairs in El Meniaa,Home Services professional wanted for Plumbing repairs in El Meniaa. Long-term project with possibility for extension.,Home Services,El Meniaa
job_411,Catering services in Médéa,Catering services expert needed in Médéa. Project involves commercial space. Good communication skills and punctuality essential.,Events & Celebrations,Médéa
job_412,City tours in M'Sila,Transportation professional wanted for City tours in M'Sila. Medium-term project with possibility for extension.,Transportation,M'Sila
job_413,Agricultural consulting in Tindouf,Need assistance with Agricultural consulting in Tindouf. Ideal for retirees with knowledge in agriculture & gardening.,Agriculture & Gardening,Tindouf
job_414,Arabic language teaching in In Salah,Teaching & Education professional wanted for Arabic language teaching in In Salah. Short-term project with possibility for extension.,Teaching & Education,In Salah
job_415,Manicure & pedicure in Sidi Bel Abbès,Manicure & pedicure expert needed in Sidi Bel Abbès. Project involves residential work. Good communication skills and punctuality essential.,Beauty & Wellness,Sidi Bel Abbès
job_416,E-commerce setup in Illizi,Hiring for E-commerce setup in the Illizi area. Training provided. Fair payment and potential for regular work.,Digital Services,Illizi
job_417,Catering for special events in Touggourt,Looking for talented food & cuisine specialist for Catering for special events work in Touggourt. Project starts this month.,Food & Cuisine,Touggourt
job_418,Manicure & pedicure in Constantine,Looking for an experienced professional for Manicure & pedicure in Constantine. The work involves one-time service with competitive compensation.,Beauty & Wellness,Constantine
job_419,Science tutoring in Khenchela,Hiring for Science tutoring in the Khenchela area. References needed. Fair payment and potential for regular work.,Teaching & Education,Khenchela
job_420,Wood crafting in In Salah,Need assistance with Wood crafting in In Salah. Ideal for students with knowledge in handcrafts.,Handcrafts,In Salah
job_421,Irrigation system installation in Tissemsilt,Seeking skilled individual for Irrigation system installation services in Tissemsilt. Must have own tools and transportation. Urgent need required.,Agriculture & Gardening,Tissemsilt
job_422,Air conditioner maintenance in Biskra,Air conditioner maintenance expert needed in Biskra. Project involves commercial space. Good communication skills and punctuality essential.,Home Services,Biskra
job_423,Wood crafting in Tissemsilt,Need assistance with Wood crafting in Tissemsilt. Ideal for retirees with knowledge in handcrafts.,Handcrafts,Tissemsilt
job_424,Traditional bread baking in Bordj Bou Arréridj,Need assistance with Traditional bread baking in Bordj Bou Arréridj. Ideal for students with knowledge in food & cuisine.,Food & Cuisine,Bordj Bou Arréridj
job_425,Traditional dress sewing in Batna,Need assistance with Traditional dress sewing in Batna. Ideal for professionals with knowledge in handcrafts.,Handcrafts,Batna
job_426,Traditional music performance in El Bayadh,Seeking skilled individual for Traditional music performance services in El Bayadh. Must have own tools and transportation. Weekday availability required.,Events & Celebrations,El Bayadh
job_427,Leather crafting in Laghouat,Need assistance with Leather crafting in Laghouat. Ideal for part-time workers with knowledge in handcrafts.,Handcrafts,Laghouat
job_428,Home hairdressing in Tlemcen,Beauty & Wellness professional wanted for Home hairdressing in Tlemcen. Long-term project with possibility for extension.,Beauty & Wellness,Tlemcen
job_429,Traditional music performance in Ouled Djellal,Looking for talented events & celebrations specialist for Traditional music performance work in Ouled Djellal. Project starts immediately.,Events & Celebrations,Ouled Djellal
job_430,Traditional bread baking in Biskra,Food & Cuisine professional wanted for Traditional bread baking in Biskra. Short-term project with possibility for extension.,Food & Cuisine,Biskra
job_431,Electronics repair in Naâma,Looking for talented maintenance & repairs specialist for Electronics repair work in Naâma. Project starts upon agreement.,Maintenance & Repairs,Naâma
job_432,Car mechanics in Boumerdès,Looking for talented maintenance & repairs specialist for Car mechanics work in Boumerdès. Project starts immediately.,Maintenance & Repairs,Boumerdès
job_433,Car mechanics in In Salah,Need assistance with Car mechanics in In Salah. Ideal for retirees with knowledge in maintenance & repairs.,Maintenance & Repairs,In Salah
job_434,Pottery services in Boumerdès,Hiring for Pottery services in the Boumerdès area. Experience required. Fair payment and potential for regular work.,Handcrafts,Boumerdès
job_435,Air conditioner maintenance in Alger,Hiring for Air conditioner maintenance in the Alger area. Training provided. Fair payment and potential for regular work.,Home Services,Alger
job_436,Catering services in Oum El Bouaghi,Looking for talented events & celebrations specialist for Catering services work in Oum El Bouaghi. Project starts next week.,Events & Celebrations,Oum El Bouaghi
job_437,Painting services in Sétif,Looking for an experienced professional for Painting services in Sétif. The work involves one-time service with competitive compensation.,Home Services,Sétif
job_438,Furniture assembly in Sétif,Hiring for Furniture assembly in the Sétif area. Training provided. Fair payment and potential for regular work.,Home Services,Sétif
job_439,Plumbing repairs in Jijel,Plumbing repairs expert needed in Jijel. Project involves residential work. Good communication skills and punctuality essential.,Home Services,Jijel
job_440,Wood crafting in Biskra,Handcrafts professional wanted for Wood crafting in Biskra. Recurring project with possibility for extension.,Handcrafts,Biskra
job_441,Website development in Ghardaïa,Website development expert needed in Ghardaïa. Project involves residential work. Good communication skills and punctuality essential.,Digital Services,Ghardaïa
job_442,Fruit picking in Bordj Badji Mokhtar,Looking for an experienced professional for Fruit picking in Bordj Badji Mokhtar. The work involves one-time service with competitive compensation.,Agriculture & Gardening,Bordj Badji Mokhtar
job_443,Airport pickup in Jijel,Seeking skilled individual for Airport pickup services in Jijel. Must have own tools and transportation. Flexible hours required.,Transportation,Jijel
job_444,Manicure & pedicure in Sétif,Manicure & pedicure expert needed in Sétif. Project involves commercial space. Good communication skills and punctuality essential.,Beauty & Wellness,Sétif
job_445,Event decoration in Béchar,Looking for an experienced professional for Event decoration in Béchar. The work involves regular maintenance with competitive compensation.,Events & Celebrations,Béchar
job_446,Home appliance repair in Naâma,Home appliance repair expert needed in Naâma. Project involves residential work. Good communication skills and punctuality essential.,Maintenance & Repairs,Naâma
job_447,Cooking lessons in Tiaret,Seeking skilled individual for Cooking lessons services in Tiaret. Must have own tools and transportation. Urgent need required.,Food & Cuisine,Tiaret
job_448,Moving assistance in Tindouf,Need assistance with Moving assistance in Tindouf. Ideal for professionals with knowledge in transportation.,Transportation,Tindouf
job_449,Traditional pastry making in Béchar,Food & Cuisine professional wanted for Traditional pastry making in Béchar. Medium-term project with possibility for extension.,Food & Cuisine,Béchar
job_450,French language lessons in Djelfa,Teaching & Education professional wanted for French language lessons in Djelfa. Long-term project with possibility for extension.,Teaching & Education,Djelfa
job_451,Wood crafting in Constantine,Hiring for Wood crafting in the Constantine area. References needed. Fair payment and potential for regular work.,Handcrafts,Constantine
job_452,Massage therapy in Boumerdès,Need assistance with Massage therapy in Boumerdès. Ideal for retirees with knowledge in beauty & wellness.,Beauty & Wellness,Boumerdès
job_453,Plant care in Ouled Djellal,Agriculture & Gardening professional wanted for Plant care in Ouled Djellal. Short-term project with possibility for extension.,Agriculture & Gardening,Ouled Djellal
job_454,Traditional music performance in El Tarf,Hiring for Traditional music performance in the El Tarf area. Experience required. Fair payment and potential for regular work.,Events & Celebrations,El Tarf
job_455,Garden maintenance in El Tarf,Looking for an experienced professional for Garden maintenance in El Tarf. The work involves one-time service with competitive compensation.,Agriculture & Gardening,El Tarf
job_456,Wood crafting in In Guezzam,Seeking skilled individual for Wood crafting services in In Guezzam. Must have own tools and transportation. Urgent need required.,Handcrafts,In Guezzam
job_457,Traditional hamam services in Aïn Defla,Looking for talented beauty & wellness specialist for Traditional hamam services work in Aïn Defla. Project starts immediately.,Beauty & Wellness,Aïn Defla
job_458,Home appliance repair in Biskra,Need assistance with Home appliance repair in Biskra. Ideal for part-time workers with knowledge in maintenance & repairs.,Maintenance & Repairs,Biskra
job_459,Delivery services in Tindouf,Looking for talented transportation specialist for Delivery services work in Tindouf. Project starts upon agreement.,Transportation,Tindouf
job_460,Makeup services in Mostaganem,Makeup services expert needed in Mostaganem. Project involves public venue. Good communication skills and punctuality essential.,Beauty & Wellness,Mostaganem
job_461,Massage therapy in Oran,Massage therapy expert needed in Oran. Project involves residential work. Good communication skills and punctuality essential.,Beauty & Wellness,Oran
job_462,Agricultural consulting in Khenchela,Agricultural consulting expert needed in Khenchela. Project involves private property. Good communication skills and punctuality essential.,Agriculture & Gardening,Khenchela
job_463,Cooking lessons in Bordj Badji Mokhtar,Need assistance with Cooking lessons in Bordj Badji Mokhtar. Ideal for part-time workers with knowledge in food & cuisine.,Food & Cuisine,Bordj Badji Mokhtar
job_464,University exam preparation in Saïda,Seeking skilled individual for University exam preparation services in Saïda. Must have own tools and transportation. Urgent need required.,Teaching & Education,Saïda
job_465,Catering services in Béchar,Need assistance with Catering services in Béchar. Ideal for students with knowledge in events & celebrations.,Events & Celebrations,Béchar
job_466,Wood crafting in Ouargla,Looking for an experienced professional for Wood crafting in Ouargla. The work involves regular maintenance with competitive compensation.,Handcrafts,Ouargla
job_467,Manicure & pedicure in Tindouf,Seeking skilled individual for Manicure & pedicure services in Tindouf. Must have own tools and transportation. Urgent need required.,Beauty & Wellness,Tindouf
job_468,Social media management in Naâma,Looking for talented digital services specialist for Social media management work in Naâma. Project starts upon agreement.,Digital Services,Naâma
job_469,Traditional bread baking in Mascara,Seeking skilled individual for Traditional bread baking services in Mascara. Must have own tools and transportation. Weekday availability required.,Food & Cuisine,Mascara
job_470,Housekeeping in Djanet,Need assistance with Housekeeping in Djanet. Ideal for retirees with knowledge in home services.,Home Services,Djanet
job_471,Home chef services in Médéa,Home chef services expert needed in Médéa. Project involves private property. Good communication skills and punctuality essential.,Food & Cuisine,Médéa
job_472,Electronics repair in El Tarf,Looking for talented maintenance & repairs specialist for Electronics repair work in El Tarf. Project starts immediately.,Maintenance & Repairs,El Tarf
job_473,Computer skills training in Tizi Ouzou,Seeking skilled individual for Computer skills training services in Tizi Ouzou. Must have own tools and transportation. Weekend work required.,Teaching & Education,Tizi Ouzou
job_474,University exam preparation in El M'Ghair,University exam preparation expert needed in El M'Ghair. Project involves residential work. Good communication skills and punctuality essential.,Teaching & Education,El M'Ghair
job_475,Agricultural consulting in Tébessa,Looking for talented agriculture & gardening specialist for Agricultural consulting work in Tébessa. Project starts upon agreement.,Agriculture & Gardening,Tébessa
job_476,DJ services in Béni Abbès,Need assistance with DJ services in Béni Abbès. Ideal for retirees with knowledge in events & celebrations.,Events & Celebrations,Béni Abbès
job_477,Social media management in Sidi Bel Abbès,Seeking skilled individual for Social media management services in Sidi Bel Abbès. Must have own tools and transportation. Urgent need required.,Digital Services,Sidi Bel Abbès
job_478,Wood crafting in Tiaret,Handcrafts professional wanted for Wood crafting in Tiaret. Long-term project with possibility for extension.,Handcrafts,Tiaret
job_479,Cooking lessons in Timimoun,Hiring for Cooking lessons in the Timimoun area. Experience required. Fair payment and potential for regular work.,Food & Cuisine,Timimoun
job_480,Website development in Oran,Website development expert needed in Oran. Project involves public venue. Good communication skills and punctuality essential.,Digital Services,Oran
job_481,Logo design in Béjaïa,Hiring for Logo design in the Béjaïa area. References needed. Fair payment and potential for regular work.,Digital Services,Béjaïa
job_482,Homemade couscous in Relizane,Hiring for Homemade couscous in the Relizane area. References needed. Fair payment and potential for regular work.,Food & Cuisine,Relizane
job_483,Catering for special events in M'Sila,Catering for special events expert needed in M'Sila. Project involves public venue. Good communication skills and punctuality essential.,Food & Cuisine,M'Sila
job_484,Manicure & pedicure in Biskra,Need assistance with Manicure & pedicure in Biskra. Ideal for students with knowledge in beauty & wellness.,Beauty & Wellness,Biskra
job_485,Makeup services in Bordj Bou Arréridj,Need assistance with Makeup services in Bordj Bou Arréridj. Ideal for part-time workers with knowledge in beauty & wellness.,Beauty & Wellness,Bordj Bou Arréridj
job_486,Intercity transport in Batna,Looking for an experienced professional for Intercity transport in Batna. The work involves one-time service with competitive compensation.,Transportation,Batna
job_487,Pottery services in Saïda,Looking for an experienced professional for Pottery services in Saïda. The work involves regular maintenance with competitive compensation.,Handcrafts,Saïda
job_488,Fruit picking in Aïn Témouchent,Need assistance with Fruit picking in Aïn Témouchent. Ideal for part-time workers with knowledge in agriculture & gardening.,Agriculture & Gardening,Aïn Témouchent
job_489,Jewelry making in Djanet,Hiring for Jewelry making in the Djanet area. Portfolio requested. Fair payment and potential for regular work.,Handcrafts,Djanet
job_490,Graphic design in Ouled Djellal,Graphic design expert needed in Ouled Djellal. Project involves public venue. Good communication skills and punctuality essential.,Digital Services,Ouled Djellal
job_491,Event photography in Mascara,Events & Celebrations professional wanted for Event photography in Mascara. Short-term project with possibility for extension.,Events & Celebrations,Mascara
job_492,University exam preparation in Oran,Looking for talented teaching & education specialist for University exam preparation work in Oran. Project starts immediately.,Teaching & Education,Oran
job_493,Moving assistance in Béjaïa,Looking for an experienced professional for Moving assistance in Béjaïa. The work involves ongoing support with competitive compensation.,Transportation,Béjaïa
job_494,Mobile app development in Biskra,Looking for talented digital services specialist for Mobile app development work in Biskra. Project starts next week.,Digital Services,Biskra
job_495,Home appliance repair in Bouira,Hiring for Home appliance repair in the Bouira area. References needed. Fair payment and potential for regular work.,Maintenance & Repairs,Bouira
job_496,Computer maintenance in Ouled Djellal,Need assistance with Computer maintenance in Ouled Djellal. Ideal for students with knowledge in maintenance & repairs.,Maintenance & Repairs,Ouled Djellal
job_497,Home appliance repair in Saïda,Home appliance repair expert needed in Saïda. Project involves commercial space. Good communication skills and punctuality essential.,Maintenance & Repairs,Saïda
job_498,Wood crafting in Tizi Ouzou,Seeking skilled individual for Wood crafting services in Tizi Ouzou. Must have own tools and transportation. Weekend work required.,Handcrafts,Tizi Ouzou
job_499,University exam preparation in Relizane,Need assistance with University exam preparation in Relizane. Ideal for retirees with knowledge in teaching & education.,Teaching & Education,Relizane
